Ax,Ay,Az,Amag
0.43,0.79,-9.87,9.91
0.37,0.66,-9.95,9.98
0.31,0.60,-9.91,9.93
0.28,0.73,-9.91,9.95
0.39,0.74,-9.95,9.99
0.42,0.65,-9.97,10.00
0.39,0.72,-9.93,9.97
0.39,0.73,-9.92,9.95
0.30,0.66,-9.85,9.87
0.31,0.73,-9.89,9.92
0.41,0.79,-9.97,10.01
0.40,0.69,-9.89,9.92
0.34,0.68,-9.94,9.97
0.28,0.62,-9.91,9.93
0.36,0.74,-9.92,9.95
0.30,0.69,-9.93,9.95
0.34,0.67,-9.90,9.93
0.31,0.62,-9.89,9.92
0.39,0.82,-9.92,9.96
0.36,0.73,-9.89,9.92
0.29,0.61,-9.97,9.99
0.45,0.73,-9.91,9.95
0.40,0.66,-9.75,9.78
0.21,0.82,-10.02,10.06
0.47,0.70,-9.98,10.02
0.37,0.81,-9.85,9.89
0.34,0.87,-9.94,9.99
0.40,0.67,-9.94,9.97
0.40,0.53,-9.92,9.94
0.38,0.71,-9.90,9.94
0.34,0.79,-9.92,9.96
0.37,0.77,-9.91,9.95
0.26,0.58,-9.91,9.93
0.40,0.73,-9.89,9.93
0.40,0.80,-9.89,9.93
0.35,0.74,-9.91,9.94
0.37,0.71,-9.99,10.02
0.46,0.74,-9.91,9.95
0.25,0.77,-9.92,9.95
0.37,0.67,-9.97,10.00
0.41,0.75,-9.93,9.97
0.35,0.72,-9.90,9.93
0.34,0.75,-9.91,9.95
0.42,0.70,-9.89,9.92
0.39,0.69,-9.90,9.93
0.33,0.73,-9.93,9.96
0.38,0.78,-9.91,9.95
0.41,0.74,-9.93,9.97
0.41,0.68,-9.92,9.96
0.40,0.69,-9.91,9.94
0.40,0.74,-9.94,9.97
0.39,0.75,-9.90,9.94
0.31,0.73,-9.93,9.97
0.40,0.67,-9.94,9.97
0.44,0.79,-9.90,9.94
0.45,0.82,-9.93,9.97
0.35,0.70,-9.89,9.92
0.37,0.73,-9.97,10.01
0.48,0.79,-9.98,10.02
0.42,0.73,-9.84,9.88
0.24,0.87,-10.11,10.15
0.48,0.59,-9.85,9.88
0.45,0.75,-9.83,9.87
0.41,0.92,-9.90,9.95
0.43,0.76,-10.00,10.04
0.41,0.64,-9.93,9.96
0.54,0.80,-9.94,9.99
0.37,0.72,-9.87,9.90
0.35,0.74,-9.91,9.94
0.42,0.80,-9.91,9.96
0.38,0.69,-9.88,9.91
0.39,0.77,-9.88,9.92
0.41,0.83,-9.88,9.92
0.43,0.85,-9.96,10.01
0.49,0.78,-9.93,9.97
0.36,0.71,-9.93,9.96
0.36,0.75,-9.92,9.96
0.38,0.75,-9.91,9.94
0.41,0.69,-9.96,9.99
0.54,0.81,-9.96,10.01
0.42,0.71,-9.88,9.91
0.36,0.81,-9.90,9.94
